Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
158,1.0,0.0,0.8833,2.14,27.12,1920.0,917.05,25.74
159,1.0,0.0,0.873,3.09,19.88,1920.0,916.33,21.13
160,1.0,0.0,0.8674,3.76,12.45,1920.0,924.48,31.04
161,1.0,0.0,0.8709,4.03,9.1,1920.0,931.31,21.26
162,1.0,0.0,0.8389,4.28,6.05,1920.0,928.85,21.11
163,1.0,0.0,0.8598,3.67,4.22,1920.0,922.22,17.4
164,1.0,0.0,0.8511,2.16,0.0,1920.0,928.31,21.25
165,1.0,0.0,0.8534,2.2,0.0,1920.0,920.52,20.95
166,1.0,0.0,0.8386,1.87,0.0,1918.31,931.22,25.99
167,1.0,0.0,0.8563,1.82,0.0,1917.35,927.07,21.1
168,1.0,0.0,0.844,6.52,0.0,1918.37,922.74,21.15
169,1.0,0.0,0.8418,3.44,0.0,1917.45,929.4,21.12
170,1.0,0.0,0.848,2.24,0.0,1915.87,948.75,31.62
171,1.0,0.0,0.8356,1.56,0.0,1912.63,954.58,21.04
172,1.0,0.0,0.8268,0.98,0.0,1911.36,940.0,20.92
173,1.0,0.0,0.8282,0.67,0.0,1911.07,945.36,20.98
174,1.0,0.0,0.8407,0.43,0.0,1909.23,936.35,20.77
175,1.0,0.0,0.8228,0.02,0.0,1910.26,953.77,24.91
176,1.0,0.0,0.8116,3.3,0.0,1915.33,968.54,21.2
177,1.0,0.0,0.8112,0.41,0.0,1912.65,958.5,21.01
178,1.0,0.0,0.8216,0.0,0.0,1912.49,927.99,21.16
179,1.0,0.0,0.8028,0.0,0.0,1908.69,914.29,21.09
180,1.0,0.0,0.813,0.0,0.0,1909.12,926.76,21.16
181,1.0,0.0,0.8092,0.0,0.0,1910.75,934.92,15.4
182,1.0,0.0,0.7242,0.0,0.0,1909.48,953.83,20.92
183,1.0,0.0,0.7631,0.0,0.41,1898.72,966.21,20.92
184,1.0,0.0,0.6284,0.0,0.19,1914.74,992.19,21.18
185,1.0,0.0,0.2985,1.83,0.82,1920.0,994.94,21.15
186,1.0,0.0,0.5147,0.0,1.64,1918.38,999.86,21.16
187,1.0,0.0,0.543,0.0,2.0,1918.65,1009.98,23.99
188,1.0,0.0,0.5677,0.34,2.38,1910.68,996.34,15.85
189,1.0,0.0,0.6677,0.34,2.89,1882.44,990.05,21.2
190,1.0,0.0,0.8006,0.5,3.45,1904.63,969.8,21.18
191,1.0,0.0,0.7252,1.98,4.07,1913.41,947.49,21.11
192,1.0,0.0,0.7953,4.19,5.15,1915.68,982.4,20.86
193,1.0,0.0,0.7959,9.96,6.15,1920.0,922.72,21.03
194,1.0,0.0,0.8258,7.41,5.81,1916.09,916.4,21.1
195,1.0,0.0,0.8234,0.0,2.22,1905.22,891.46,21.09
196,1.0,0.0,0.815,4.83,3.59,1902.94,859.17,21.2
197,1.0,0.0,0.7646,0.0,2.12,1898.93,862.49,21.11
198,1.0,0.0,0.8234,11.21,1.68,1904.28,851.88,21.21
199,1.0,0.0,0.8329,14.09,0.72,1907.42,864.08,21.22
200,1.0,0.0,0.8336,10.01,0.29,1909.76,857.91,21.18
201,1.0,0.0,0.8422,9.18,0.0,1902.79,841.14,21.14
202,1.0,0.0,0.8402,8.06,0.0,1901.1,851.91,21.18
203,1.0,0.0,0.8309,0.0,0.0,1903.05,847.73,21.25
204,1.0,0.0,0.8225,1.37,0.0,1904.45,878.0,21.12
205,1.0,0.0,0.8112,4.41,0.0,1903.89,880.74,19.4
206,1.0,0.0,0.7935,4.97,0.0,1905.0,873.01,19.51
207,1.0,0.0,0.7991,5.54,0.0,1907.45,869.39,21.33
208,1.0,0.0,0.8113,5.04,0.0,1908.28,854.75,18.75
209,1.0,0.0,0.8041,11.1,0.0,1909.98,843.85,15.1
210,1.0,0.0,0.7911,0.0,0.0,1913.12,858.77,19.06
211,1.0,0.0,0.8121,0.0,1.0,1915.44,856.46,17.78
212,1.0,0.0,0.8432,0.0,0.96,1916.68,886.97,27.97
213,1.0,0.0,0.8438,0.0,2.54,1912.78,849.25,21.1
214,1.0,0.0,0.8338,0.0,0.64,1914.25,843.58,17.37
215,1.0,0.0,0.7997,0.0,0.0,1917.25,854.89,21.17
216,1.0,0.0,0.8163,9.97,1.6,1914.36,842.12,17.61
217,1.0,0.0,0.7467,0.0,0.0,1918.46,859.42,21.16
218,1.0,0.0,0.4259,0.0,0.0,1920.0,987.73,21.19
219,1.0,0.0,0.509,0.0,0.0,1920.0,1041.83,15.86
220,1.0,0.0,0.6827,4.16,0.0,1920.0,1043.28,15.92
221,1.0,0.0,0.798,4.96,0.0,1920.0,935.31,21.15
222,1.0,0.0,0.8289,1.46,0.0,1734.74,862.54,21.12
223,1.0,0.0,0.8047,0.88,0.0,1690.48,846.36,15.7
224,1.0,0.0,0.8174,1.54,0.0,1725.8,826.22,20.18
225,1.0,0.0,0.8262,0.0,2.24,1691.09,818.28,21.22
226,1.0,0.0,0.8321,0.0,4.8,1698.36,817.26,17.43
227,1.0,0.0,0.8344,0.0,5.03,1696.74,818.91,21.14
228,1.0,0.0,0.817,0.0,4.31,1704.37,837.25,21.13
229,1.0,0.0,0.7789,0.0,3.95,1726.44,833.11,17.45
230,1.0,0.0,0.798,3.09,3.34,1716.21,842.66,18.95
231,1.0,0.0,0.7552,7.12,0.0,1740.58,853.39,21.15
232,1.0,0.0,0.76,15.85,0.0,1772.83,847.46,21.63
233,1.0,0.0,0.7859,11.54,0.0,1827.13,834.5,21.16
234,1.0,0.0,0.7746,9.64,0.0,1869.09,840.89,21.24
235,1.0,0.0,0.7861,11.77,0.0,1887.73,834.87,21.26
236,1.0,0.0,0.7476,10.3,0.0,1898.6,839.11,18.65
237,1.0,0.0,0.7993,11.22,0.0,1906.13,837.47,15.84
238,1.0,0.0,0.7858,8.06,0.0,1916.69,846.1,15.85
239,1.0,0.0,0.7934,5.22,0.0,1915.42,851.47,21.17
240,1.0,0.0,0.7978,0.0,1.69,1915.14,853.57,17.3
241,1.0,0.0,0.8266,0.0,3.65,1919.64,854.02,15.26
242,1.0,0.0,0.8251,0.0,4.02,1919.7,857.82,18.94
243,1.0,0.0,0.8313,0.0,0.0,1917.08,853.23,21.03
244,1.0,0.0,0.8374,0.0,1.52,1916.57,853.26,15.85
245,1.0,0.0,0.8374,0.0,2.73,1916.0,833.88,20.73
246,1.0,0.0,0.8266,0.76,0.0,1910.97,828.06,20.8
247,1.0,0.0,0.8363,5.17,0.0,1915.63,829.95,23.52
248,1.0,0.0,0.7978,3.99,0.0,1914.42,830.2,17.96
249,1.0,0.0,0.8196,12.07,0.0,1912.82,838.58,21.09
250,1.0,0.0,0.8448,11.05,0.85,1913.62,834.33,21.02
251,1.0,0.0,0.8436,19.42,3.61,1913.81,832.82,15.87
252,1.0,0.0,0.854,19.92,0.0,1912.12,849.88,21.09
253,1.0,0.0,0.8406,27.37,0.0,1908.17,851.42,21.02
254,1.0,0.0,0.8349,14.48,0.0,1907.87,839.37,17.44
255,1.0,0.0,0.8335,12.64,2.86,1911.9,836.09,15.88
256,1.0,0.0,0.8414,19.84,5.86,1913.78,836.34,21.51
257,1.0,0.0,0.8356,23.68,6.65,1912.4,839.63,17.37
258,1.0,0.0,0.812,21.59,6.27,1911.31,837.51,21.19
259,1.0,0.0,0.8321,22.43,5.78,1910.2,841.08,21.09
260,1.0,0.0,0.8273,10.12,5.15,1894.74,843.43,18.93
261,1.0,0.0,0.8245,11.29,5.82,1897.72,840.91,15.86
262,1.0,0.0,0.8144,18.93,4.29,1885.08,839.45,21.11
263,1.0,0.0,0.8083,13.35,12.24,1886.76,832.88,21.13
264,1.0,0.0,0.8007,17.12,6.34,1889.86,833.72,23.83
265,1.0,0.0,0.8116,20.36,2.81,1894.61,823.15,17.85
266,1.0,0.0,0.7701,17.87,2.29,1900.37,799.46,15.77
267,1.0,0.0,0.7236,12.49,20.62,1901.62,795.47,21.14
268,1.0,0.0,0.7153,5.6,31.31,1859.47,790.48,21.03
269,1.0,0.0,0.7819,7.54,31.29,1854.08,794.41,16.67
270,1.0,0.0,0.7495,3.16,26.81,1880.38,795.67,21.16
271,1.0,0.0,0.7395,9.45,33.06,1888.62,811.98,15.97
272,1.0,0.0,0.7282,14.86,23.28,1897.63,818.39,18.58
273,1.0,0.0,0.6799,6.9,27.29,1904.46,821.3,21.13
274,1.0,0.0,0.6527,6.58,34.1,1909.44,822.44,21.2
275,1.0,0.0,0.6594,5.25,53.62,1885.32,798.32,21.41
276,1.0,0.0,0.709,6.81,32.04,1896.31,819.21,21.14
277,1.0,0.0,0.6686,12.95,98.37,1869.28,795.03,21.15
278,1.0,0.0,0.7232,34.65,73.07,1890.1,795.82,17.41
279,1.0,0.0,0.7074,30.86,54.81,1898.48,811.08,15.73
280,1.0,0.0,0.7091,29.09,34.71,1905.4,796.09,27.33
281,1.0,0.0,0.7611,19.87,36.38,1909.58,823.38,18.97
282,1.0,0.0,0.7327,9.12,32.59,1914.79,829.15,18.83
